values,
1276.156913,1
1309.851499,2
1354.133932,3
1411.634742,4
1484.44304,5
1573.098181,6
1672.581712,7
1774.263025,8
1866.283218,9
1936.918873,10
1977.59295,11
1984.542229,12
1961.251004,13
1917.366407,14
1865.971212,15
1821.505708,16
1795.989515,17
1795.660495,18
1819.718474,19
1861.863636,20
1910.582576,21
1953.771368,22
1980.897826,23
1985.529891,24
1967.865241,25
1933.247942,26
1890.761657,27
1866.730827,28
1863.508814,29
1902.69785,30
1986.076448,31
2109.031946,32
2262.109639,33
2429.581624,34
2593.111164,35
2664.352061,36
2771.110539,37
2835.042768,38
2855.130162,39
2838.278001,40
2796.326381,41
2742.673096,42
2690.943877,43
2651.442371,44
2629.920602,45
2626.992434,46
2636.968498,47
2654.549802,48
2671.112069,49
2681.142314,50
2682.070395,51
2675.276634,52
2664.298422,53
2653.817094,54
2649.371186,55
2651.533858,56
2660.802737,57
2672.175897,58
2678.783892,59
2673.610039,60
2650.047603,61
2604.875539,62
2538.685462,63
2456.885591,64
2366.883153,65
2278.468636,66
2200.068325,67
2138.164608,68
2095.215258,69
2070.73224,70
2059.281215,71
2054.643604,72
2049.138453,73
2036.269274,74
2007.623381,75
1962.051897,76
1898.940056,77
1818.421858,78
1726.323481,79
1628.332734,80
1530.720233,81
1439.615511,82
1361.699823,83
1302.341586,84
1265.221383,85
1252.432943,86
1264.134593,87
1296.582958,88
1344.866022,89
1401.766124,90
1458.830935,91
1508.097081,92
1543.862511,93
1562.116455,94
1562.685944,95
1547.587878,96
1521.076208,97
1488.391538,98
1455.267069,99
1425.153356,100
1401.744584,101
1386.455051,102
1378.491001,103
1376.666863,104
1378.848941,105
1382.047855,106
1385.018652,107
1387.118998,108
1388.448377,109
1392.109781,110
1400.206774,111
1416.441676,112
1443.543892,113
1484.09306,114
1538.224488,115
1604.687637,116
1680.297576,117
1760.629365,118
1836.722812,119
1906.088212,120
1959.60646,121
1995.1421,122
2011.437433,123
2010.456573,124
1997.221567,125
1978.769451,126
1963.00768,127
1956.231171,128
1963.595333,129
1986.861146,130
2024.462766,131
2073.230103,132
2127.816312,133
2182.240532,134
2231.489012,135
2272.67635,136
2304.048039,137
2326.723669,138
2342.787917,139
2354.765326,140
2364.975237,141
2374.657862,142
2384.326311,143
2394.227085,144
2332.843579,145
2339.545488,146
2347.296459,147
2357.891671,148
2372.535074,149
2393.312205,150
2419.890152,151
2451.975026,152
2486.627322,153
2520.921048,154
2551.269199,155
2574.741824,156
2589.975821,157
2596.210228,158
2595.60841,159
2590.404779,160
2582.665684,161
2574.053859,162
2564.491428,163
2552.298336,164
2534.273466,165
2506.367877,166
2466.069051,167
2410.994891,168
2342.868503,169
2264.840784,170
2182.949989,171
2104.315448,172
2036.121021,173
1984.400831,174
1952.737029,175
1941.494095,176
1948.85224,177
1969.229628,178
1996.779934,179
2025.47959,180
2049.441351,181
2065.155356,182
2069.981395,183
2064.072287,184
2048.015407,185
2023.003757,186
1991.876101,187
1955.936082,188
1916.335741,189
1873.999453,190
1829.479219,191
1782.192785,192
1732.778105,193
1681.431132,194
1629.430278,195
1577.53677,196
1528.838725,197
1484.411777,198
1446.302643,199
1416.192331,200
1394.376368,201
1381.261723,202
1376.51541,203
1379.50478,204
1389.211074,205
1404.248339,206
1423.150098,207
1443.972555,208
1466.520676,209
1489.140378,210
1511.899175,211
1535.157022,212
1559.454227,213
1585.543742,214
1614.199243,215
1645.189631,216
1677.866611,217
1710.403183,218
1741.003002,219
1767.736331,220
1788.780376,221
1803.163393,222
1809.660448,223
1809.788438,224
1803.948805,225
1794.282247,226
1783.688239,227
1774.254679,228
1766.898292,229
1764.464018,230
1766.318653,231
1774.347594,232
1787.881668,233
1806.776214,234
1830.492332,235
1857.234521,236
1885.439919,237
1914.510786,238
1943.545462,239
1973.298298,240
2004.357162,241
2038.568167,242
2076.391633,243
2119.625976,244
2168.218107,245
2221.818728,246
2287.975465,247
2359.453802,248
2440.343855,249
2497.004533,250
2519.30233,251
2505.607476,252
2453.686992,253
2363.48322,254
2239.261902,255
2091.248391,256
1936.288971,257
1791.615139,258
1674.432324,259
1597.919739,260
1566.960146,261
1578.604802,262
1623.633523,263
1687.398649,264
1755.380073,265
1819.304902,266
1869.149752,267
1909.058026,268
1943.341132,269
1981.321257,270
2031.991011,271
2101.668611,272
2191.838732,273
2297.286945,274
2407.076328,275
2507.478575,276
2585.28834,277
2631.020046,278
2640.872712,279
2619.832663,280
2577.869539,281
2530.472262,282
2492.016888,283
2476.558003,284
2489.966009,285
2532.750835,286
2596.371797,287
2670.084279,288
2738.332334,289
2788.930669,290
2813.441036,291
2810.30884,292
2741.877661,293
2700.780199,294
2656.904092,295
2624.428192,296
2611.126069,297
2622.418315,298
2654.751306,299
2701.365511,300
2749.964286,301
2787.875113,302
2805.044016,303
2795.036691,304
2758.274231,305
2700.362203,306
2629.859603,307
2556.654014,308
2490.026394,309
2435.15519,310
2393.70427,311
2362.466379,312
2335.562787,313
2306.320245,314
2268.323128,315
2219.507868,316
2161.31115,317
2099.104909,318
2040.37623,319
1992.199199,320
1951.900767,321
1927.385076,322
1906.60139,323
1885.226094,324
1855.505453,325
1811.160331,326
1749.69648,327
1673.727107,328
1597.637622,329
1518.086453,330
1453.447886,331
1413.026694,332
1400.471037,333
1414.673298,334
1449.562309,335
1494.405538,336
1540.354312,337
1578.316006,338
1603.855726,339
1617.522307,340
1629.376233,341
1646.929349,342
1683.275821,343
1742.803252,344
1823.064568,345
1919.376499,346
2019.526014,347
2109.489105,348
2174.894563,349
2205.456158,350
2196.535339,351
2151.860993,352
2081.60002,353
1976.927666,354
1901.998869,355
1849.647337,356
1830.300254,357
1846.859896,358
1894.726945,359
1963.946782,360
2041.399221,361
2115.223489,362
2176.161664,363
2221.022103,364
2250.902978,365
2272.155053,366
2291.874201,367
2317.786193,368
2354.262409,369
2401.374868,370
2456.227113,371
2510.756526,372
2557.397713,373
2588.89096,374
2601.268986,375
2595.15386,376
2575.286452,377
2549.709644,378
2528.434132,379
2520.950351,380
2533.25461,381
2569.049363,382
2625.441321,383
2695.662111,384
2771.157475,385
2840.169074,386
2892.119581,387
2919.800771,388
2900.546212,389
2844.989179,390
2737.65249,391
2587.826192,392
2405.199123,393
2203.078582,394
1996.641795,395
1802.307345,396
1636.217995,397
1510.713444,398
1433.221836,399
1403.749844,400
1416.528182,401
1458.89127,402
1515.168477,403
1570.798195,404
1612.995669,405
1635.380564,406
1637.57508,407
1624.568718,408
1604.814028,409
1587.758379,410
1580.999215,411
1588.957826,412
1611.477479,413
1644.267605,414
1679.725507,415
1709.570658,416
1726.433094,417
1726.426608,418
1710.134568,419
1682.224544,420
1650.259294,421
1622.879401,422
1607.967709,423
1609.809876,424
1629.137775,425
1662.930719,426
1704.938961,427
1747.412894,428
1783.104899,429
1806.931752,430
1816.790185,431
1816.327575,432
1808.132773,433
1801.201146,434
1801.704258,435
1814.83204,436
1842.424288,437
1884.053917,438
1935.493335,439
1989.997601,440
2040.807503,441
2081.80264,442
2108.714712,443
2120.251877,444
2119.135226,445
2108.028818,446
2092.616529,447
2076.643651,448
2063.372768,449
2053.445602,450
2046.81745,451
2041.958432,452
2037.295499,453
2031.483133,454
2025.161241,455
2020.605404,456
2021.629935,457
2033.643023,458
2059.408713,459
2043.687288,460
2101.149055,461
2171.183354,462
2247.632943,463
2322.908997,464
2389.956244,465
2443.095964,466
2479.804501,467
2500.920435,468
2510.171277,469
2512.608725,470
2515.290935,471
2522.973857,472
2540.011774,473
2566.56934,474
2601.79623,475
2641.221065,476
2679.014115,477
2710.142897,478
2730.647337,479
2738.934782,480
2736.547094,481
2725.50194,482
2710.080591,483
2693.039941,484
2676.581135,485
2662.882396,486
2652.95623,487
2647.213109,488
2622.573248,489
2591.133869,490
2528.475084,491
2434.414684,492
2310.847721,493
2161.673824,494
1995.425532,495
1823.558478,496
1660.905004,497
1521.883463,498
1418.643711,499
1358.885706,500
1343.899055,501
1368.239929,502
1422.598225,503
1493.601426,504
1568.578377,505
1636.485169,506
1691.453325,507
1731.670666,508
1758.58856,509
1777.485166,510
1793.634359,511
1811.250201,512
1832.842322,513
1857.645397,514
1883.406523,515
1905.734175,516
1919.914918,517
1922.81938,518
1913.511155,519
1893.554392,520
1866.915622,521
1839.768707,522
1818.058794,523
1807.166895,524
1810.032865,525
1826.478778,526
1853.653254,527
1886.0361,528
1917.451246,529
1942.012704,530
1957.054215,531
1965.34873,532
1965.758059,533
1966.923542,534
1972.494487,535
1986.290159,536
2010.254793,537
2042.863922,538
2079.745464,539
2114.577381,540
2139.604766,541
2150.978757,542
2146.333541,543
2129.615235,544
2106.776325,545
2086.344962,546
2076.591586,547
2082.454506,548
2105.095996,549
2141.619332,550
2184.225171,551
2223.23422,552
2248.365332,553
2252.383278,554
2231.421418,555
2188.270923,556
2138.953234,557
2090.236853,558
2064.259935,559
2070.657446,560
2115.678154,561
2199.806418,562
2315.43457,563
2449.636698,564
2531.648632,565
2618.346039,566
2635.820903,567
2577.674987,568
2445.482343,569
2251.798722,570
2015.640738,571
1769.599151,572
1546.280377,573
1374.68497,574
1274.634239,575
1252.299715,576
1299.871414,577
1397.656718,578
1519.459869,579
1638.281828,580
1732.749631,581
1791.115222,582
1813.196966,583
1807.585297,584
1790.11019,585
1777.512168,586
1794.417569,587
1839.78393,588
1923.404196,589
2034.150505,590
2155.251453,591
2268.151614,592
2355.840774,593
2405.316341,594
2411.250162,595
2375.663504,596
2307.366098,597
2219.348821,598
2126.179243,599
2039.255492,600
1967.326548,601
1912.424408,602
1872.334404,603
1839.957373,604
1803.708715,605
1759.232944,606
1698.941268,607
1623.883238,608
1539.776345,609
1455.700087,610
1381.850678,611
1327.98579,612
1301.494068,613
1305.510308,614
1338.52342,615
1394.435569,616
1464.224044,617
1538.823537,618
1608.518184,619
1667.622931,620
1712.582216,621
1743.669689,622
1762.464521,623
1773.281744,624
1779.002281,625
1783.073853,626
1786.376709,627
1788.467566,628
1788.599398,629
1801.133215,630
1794.110506,631
1784.898854,632
1774.823903,633
1766.654959,634
1761.772953,635
1763.279957,636
1772.772318,637
1791.621138,638
1820.209024,639
1858.30922,640
1905.086243,641
1958.979719,642
2022.471785,643
2074.034038,644
2114.533031,645
2142.286607,646
2154.528222,647
2149.375712,648
2128.05741,649
2094.546429,650
2056.113896,651
2022.729216,652
2002.851699,653
2005.668813,654
2034.628805,655
2110.133566,656
2185.517253,657
2273.414251,658
2363.195828,659
2443.746256,660
2507.441684,661
2549.46036,662
2570.84587,663
2575.969537,664
2573.771659,665
2573.447864,666
2582.955848,667
2607.889365,668
2648.638581,669
2703.367632,670
2765.874148,671
2795.620251,672
2851.478584,673
2891.644441,674
2913.130745,675
2913.955706,676
2897.740142,677
2868.711918,678
2833.38983,679
2796.270086,680
2760.250654,681
2727.574331,682
2695.667554,683
2663.890791,684
2628.020064,685
2585.536606,686
2535.447024,687
2477.195597,688
2412.939559,689
2346.19953,690
2281.284938,691
2222.947548,692
2175.87447,693
2143.649006,694
2127.497545,695
2126.726659,696
2138.303974,697
2157.710083,698
2178.656716,699
2195.677292,700
2204.155287,701
2199.205634,702
2180.251751,703
2147.544063,704
2103.721698,705
2052.982466,706
2000.658934,707
1950.792803,708
1907.237822,709
1872.482363,710
1846.378447,711
1827.458487,712
1813.344316,713
1801.304742,714
1788.893809,715
1775.062552,716
1759.990015,717
1744.580473,718
1730.448188,719
1719.126413,720
1711.665549,721
1707.99265,722
1706.118117,723
1704.06787,724
1699.055025,725
1688.9409,726
1672.390269,727
1650.391075,728
1624.476283,729
1597.805308,730
1574.756664,731
1558.944469,732
1553.445856,733
1559.695701,734
1577.232415,735
1603.073688,736
1634.18331,737
1665.614358,738
1693.514724,739
1716.039577,740
1732.064567,741
1743.174532,742
1752.491527,743
1764.058896,744
1782.112115,745
1809.747636,746
1848.295788,747
1896.938343,748
1952.12581,749
2008.648017,750
2060.39646,751
2100.631881,752
2123.676309,753
2125.777416,754
2106.811339,755
2071.682787,756
2023.569842,757
1972.484381,758
1924.98273,759
1886.118865,760
1860.150497,761
1848.108081,762
1848.891077,763
1854.00016,764
1859.510715,765
1860.135015,766
1853.320409,767
1838.251906,768
1817.579752,769
1795.592257,770
1778.608209,771
1772.116849,772
1779.394771,773
1801.242679,774
1799.988392,775
1836.287123,776
1871.131753,777
1897.383676,778
1911.125097,779
1910.812065,780
1898.634871,781
1877.993762,782
1854.680706,783
1834.729034,784
1822.462429,785
1820.23008,786
1827.278654,787
1840.445052,788
1854.376227,789
1863.65342,790
1863.543482,791
1851.787486,792
1828.338215,793
1796.538125,794
1760.838929,795
1726.827445,796
1699.464498,797
1681.874198,798
1675.465083,799
1679.07807,800
1690.697035,801
1707.21016,802
1724.81576,803
1741.101014,804
1754.925296,805
1766.660181,806
1778.81514,807
1795.108044,808
1819.400121,809
1854.691934,810
1902.956611,811
1964.137279,812
2036.22318,813
2109.174068,814
2181.148028,815
2240.011308,816
2279.640038,817
2296.168348,818
2287.224432,819
2253.064911,820
2198.200953,821
2129.008305,822
2053.507942,823
1980.15726,824
1916.244451,825
1866.248302,826
1833.017384,827
1816.335388,828
1814.585678,829
1825.435128,830
1845.272639,831
1871.782997,832
1902.799113,833
1937.732701,834
1975.615967,835
2017.323645,836
2061.384418,837
2107.118781,838
2151.851931,839
2191.942148,840
2223.691657,841
2243.184946,842
2247.792672,843
2235.964647,844
2209.75975,845
2172.234028,846
2128.886991,847
2086.713589,848
2051.845401,849
2033.125087,850
2032.145103,851
2053.061021,852
2094.084979,853
2150.856421,854
2216.600685,855
2283.86683,856
2344.763255,857
2393.764177,858
2427.137322,859
2444.110619,860
2446.486969,861
2437.867343,862
2422.200449,863
2404.278435,864
2388.071945,865
2376.444542,866
2371.646248,867
2374.033596,868
2384.117413,869
2401.202636,870
2425.051491,871
2455.227226,872
2491.133528,873
2532.683127,874
2580.03857,875
2631.773431,876
2686.571549,877
2743.585755,878
2799.515828,879
2852.807004,880
2901.052582,881
2949.578062,882
2993.433793,883
3010.851307,884
3059.458014,885
3111.014028,886
3164.969022,887
3220.248624,888
3273.631095,889
3320.890391,890
3356.483866,891
3375.709414,892
3375.069716,893
3353.069996,894
3311.026868,895
3253.996846,896
3186.420614,897
3117.89724,898
3053.885695,899
3000.759664,900
2962.858502,901
2939.879755,902
2929.294695,903
2924.910141,904
2917.702906,905
2899.771538,906
2862.942462,907
2802.453795,908
2718.080146,909
2612.849876,910
2494.084958,911
2371.318948,912
2255.091289,913
2156.146762,914
2081.588842,915
2035.540966,916
2017.513572,917
2023.10478,918
2045.349668,919
2076.195017,920
2107.316102,921
2133.694854,922
2152.287217,923
2162.090825,924
2164.176655,925
2161.223349,926
2154.632059,927
2144.94082,928
2132.442624,929
2113.64691,930
2087.666212,931
2051.27835,932
2003.880545,933
1946.28491,934
1882.698566,935
1817.857582,936
1758.431952,937
1713.630849,938
1681.550202,939
1667.436078,940
1671.360848,941
1690.135535,942
1719.413365,943
1770.402231,944
1807.101778,945
1842.173714,946
1875.073767,947
1905.736872,948
1936.958735,949
1970.473586,950
2007.439102,951
2048.09846,952
2090.459171,953
2131.463647,954
2167.271542,955
2194.172627,956
2210.690863,957
2215.750555,958
2212.062954,959
2203.665224,960
2196.423302,961
2196.023122,962
2206.964175,963
2232.130328,964
2270.075107,965
2317.636585,966
2367.291699,967
2412.225981,968
2444.378587,969
2456.733095,970
2445.358149,971
2408.966552,972
2350.725956,973
2276.745162,974
2196.484269,975
2121.077108,976
2060.630185,977
2023.539324,978
2014.703347,979
2035.170311,980
2081.755852,981
2147.852195,982
